surgery,sex,take
0,1,1,0
1,1,0,0
2,0,1,0
3,0,1,1
4,1,1,0
5,0,0,1
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,0
10,0,0,0
11,1,1,1
12,1,1,0
13,0,0,0
14,0,0,0
15,1,0,0
16,0,1,0
17,0,1,0
18,1,1,0
19,1,1,0
20,0,0,0
21,1,1,0
22,1,1,1
23,0,0,0
24,0,0,0
25,1,0,0
26,1,1,0
27,1,1,0
28,1,1,0
29,1,0,1
30,1,1,1
31,1,0,1
32,0,0,0
33,1,0,1
34,0,1,1
35,1,1,0
36,0,0,0
37,0,1,0
38,1,1,0
39,1,1,1
40,0,0,0
41,1,1,0
42,1,0,0
43,0,1,0
44,0,0,0
45,0,1,0
46,1,0,1
47,0,0,0
48,1,1,0
49,0,1,0
50,1,0,1
51,1,1,1
52,0,0,0
53,0,0,0
54,0,1,0
55,0,1,1
56,1,0,0
57,1,0,1
58,1,0,0
59,1,1,1
60,0,0,1
61,0,0,1
62,0,1,0
63,0,1,0
64,0,0,0
65,0,1,1
66,0,0,0
67,1,0,1
68,0,1,1
69,1,1,0
70,1,0,0
71,1,1,0
72,1,,1
73,0,1,1
74,1,1,0
75,0,1,1
76,0,1,0
77,1,1,0
78,0,0,0
79,1,1,0
80,0,1,1
81,0,0,0
82,1,1,1
83,0,0,1
84,0,1,0
85,0,1,0
86,1,1,0
87,0,1,1
88,0,0,0
89,1,0,1
90,0,1,1
91,1,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,1,0,1
96,0,0,1
97,1,1,1
98,1,1,0
99,1,0,0
100,1,0,0
101,0,0,1
102,0,0,0
103,0,1,0
104,0,,0
105,1,0,0
106,0,0,0
107,0,0,0
108,1,1,0
109,0,0,0
110,0,1,0
111,1,1,0
112,1,1,1
113,1,1,0
114,0,1,0
115,1,0,1
116,1,0,0
117,0,1,0
118,1,0,1
119,0,0,0
120,1,1,0
121,0,0,0
122,1,0,1
123,1,0,0
124,1,1,1
125,0,1,1
126,1,1,0
127,0,0,1
128,1,1,1
129,0,1,1
130,1,1,1
131,1,1,1
132,0,0,0
133,1,0,0
134,0,1,0
135,1,0,0
136,1,1,0
137,0,1,0
138,1,1,0
139,1,0,1
140,0,0,0
141,0,0,0
142,1,0,0
143,1,0,0
144,0,1,1
145,1,0,1
146,0,1,0
147,0,1,0
148,1,1,0
149,0,1,0
150,1,1,1
151,1,0,0
152,1,1,0
153,1,0,0
154,1,1,1
155,0,0,0
156,1,1,1
157,0,0,0
158,0,1,0
159,0,1,0
160,0,0,1
161,0,1,0
162,1,1,0
163,1,0,0
164,1,0,0
165,0,0,1
166,1,0,0
167,1,1,0
168,1,0,0
169,0,1,1
170,1,0,0
171,1,0,0
172,1,0,0
173,1,0,1
174,0,0,0
175,0,0,0
176,0,0,0
177,1,0,1
178,1,0,1
179,1,1,1
180,1,1,1
181,1,1,0
182,0,0,0
183,0,1,0
184,1,1,0
185,1,0,1
186,1,0,0
187,0,1,0
188,0,0,0
189,1,0,1
190,0,1,0
191,0,0,0
192,0,0,0
193,0,0,0
194,1,0,1
195,0,1,0
196,1,0,0
197,1,0,0
198,1,1,1
199,1,1,0
200,1,0,0
201,1,1,1
202,1,0,0
203,0,0,1
204,1,0,1
205,0,0,0
206,0,0,1
207,1,0,0
208,0,1,1
209,0,0,1
210,1,1,0
211,0,0,1
212,1,0,0
213,0,1,1
214,0,1,0
215,0,0,1
216,0,0,0
217,1,0,0
218,0,0,0
219,1,1,0
220,0,0,0
221,1,0,1
222,1,1,1
223,1,0,1
224,1,0,0
225,1,1,1
226,1,0,0
227,1,1,0
228,0,1,0
229,0,1,0
230,1,0,0
231,1,0,1
232,0,0,0
233,1,1,0
234,0,1,0
235,0,1,0
236,1,0,1
237,0,1,0
238,0,1,1
239,1,0,0
240,1,1,0
241,0,1,0
242,1,1,1
243,0,0,0
244,0,1,0
245,1,1,0
246,0,0,0
247,1,1,1
248,1,0,0
249,0,0,0
250,0,0,0
251,1,0,0
252,0,0,0
253,1,0,1
254,1,0,1
255,1,1,0
256,1,1,0
257,0,1,0
258,0,1,0
259,1,1,0
260,1,0,0
261,0,0,1
262,1,0,0
263,0,0,1
264,1,0,0
265,0,0,0
266,1,1,0
267,1,0,0
268,1,1,0
269,0,1,1
270,1,0,1
271,0,0,0
272,1,0,0
273,0,0,0
274,0,0,0
275,1,0,1
276,0,1,0
277,0,0,0
278,1,0,1
279,0,0,0
280,0,1,0
281,0,0,0
282,1,0,1
283,1,1,0
284,1,0,0
285,1,1,0
286,1,1,0
287,1,1,0
288,1,0,0
289,0,0,1
290,0,,1
291,0,1,0
292,0,1,1
293,0,0,0
294,0,1,1
295,0,0,0
296,1,1,0
297,0,0,0
298,0,0,0
299,1,1,0
300,0,0,1
301,0,0,0
302,0,1,0
303,0,0,0
304,0,0,0
305,0,,0
306,0,0,0
307,1,0,1
308,1,0,0
309,0,0,0
310,0,0,0
311,0,1,1
312,0,0,0
313,0,1,0
314,0,1,1
315,0,0,0
316,1,1,0
317,1,0,0
318,0,0,0
319,1,1,0
320,1,0,0
321,0,1,1
322,1,0,1
323,0,1,1
324,1,1,1
325,0,0,1
326,1,1,1
327,0,0,0
328,0,1,1
329,0,0,0
330,0,1,0
331,1,0,0
332,0,0,0
333,1,0,0
334,1,1,0
335,0,1,0
336,0,1,0
337,0,0,0
338,1,1,1
339,1,0,0
340,0,0,0
341,1,0,1
342,1,1,1
343,1,1,0
344,0,0,0
345,0,0,1
346,1,0,0
347,1,0,1
348,0,1,1
349,1,1,0
350,0,0,1
351,0,0,0
352,0,0,1
353,0,1,0
354,1,0,0
355,1,0,0
356,1,0,0
357,0,1,0
358,1,0,0
359,1,0,0
360,0,0,1
361,0,1,1
362,0,0,1
363,1,1,0
364,1,0,1
365,0,1,0
366,0,0,1
367,1,1,0
368,0,0,0
369,1,1,0
370,0,1,1
371,0,0,0
372,1,0,1
373,1,0,0
374,0,0,0
375,1,1,0
376,1,1,0
377,1,0,0
378,1,1,0
379,0,0,0
380,0,0,0
381,1,1,1
382,0,0,0
383,0,0,0
384,1,0,0
385,1,0,1
386,0,1,0
387,1,1,1
388,1,1,1
389,0,1,0
390,0,1,0
391,1,0,1
392,1,0,0
393,1,0,0
394,0,0,1
395,0,1,0
396,0,1,0
397,1,0,1
398,1,0,0
399,0,0,0
400,0,0,0
401,0,0,0
402,0,1,0
403,1,1,1
404,1,1,0
405,1,1,1
406,1,1,1
407,0,1,0
408,0,0,0
409,0,1,0
410,1,0,0
411,1,0,1
412,1,1,0
413,0,1,1
414,0,0,0
415,0,0,1
416,1,1,0
417,1,1,1
418,1,1,0
419,0,1,1
420,0,1,0
421,1,0,1
422,1,1,1
423,1,1,0
424,1,1,0
425,1,1,1
426,0,1,0
427,0,0,0
428,1,1,0
429,0,1,0
430,0,0,0
431,1,0,1
432,0,0,0
433,1,0,0
434,1,1,0
435,1,1,0
436,0,0,0
437,0,0,0
438,0,1,1
439,1,1,0
440,1,1,0
441,1,1,0
442,0,1,0
443,0,1,0
444,1,1,0
445,0,1,0
446,1,1,0
447,0,0,1
448,1,1,0
449,1,0,0
450,0,0,1
451,0,1,1
452,0,0,0
453,1,0,0
454,0,0,1
455,0,1,0
456,0,1,1
457,1,1,0
458,1,1,1
459,1,0,0
460,0,1,0
461,1,1,0
462,1,0,0
463,0,1,0
464,1,1,0
465,0,0,0
466,0,0,0
467,1,0,0
468,1,1,1
469,1,0,1
470,1,0,0
471,0,0,0
472,1,0,0
473,0,0,0
474,0,1,0
475,1,0,1
476,0,0,0
477,0,1,1
478,1,1,0
479,0,0,0
480,0,0,1
481,0,0,0
482,1,0,0
483,0,0,0
